ID,0-19%,20-29%,30-59%,60+%,AreaKM2,Pop_Density,Businesses,%BusinessGrowth,BusinessesPer1kCap,%Unemployment,UnemploymentChange,2019_Wage,HousePrice,%HousePriceGrowth,HousePricePerWage,%OwnOutright,%OwnWithMort,%PrivateRent,%SocialHousing,%Heavy Industry & Manufacturing,%Wholesale & Retail,%Agriculture,%Hospitality,%Public Admin & Defence,%Transport,%Health & Social Work,%Support & Admin,%Education,%Sciences,%FS & ICT,%Other Industry,%NoQuals,%Level1,%Level2,%Level3,%Level4+,%White,%Mixed,%Asian,%Black,%NoReligion,%Christian,%Muslim,%Other_Religion,%BornUK,%Born_Other_Europe,%Born_RestOf_theWorld,%Born_Asia,MbpsSpeed,%UnableDecent,%Under10Mbps,%LeaveVote,%17Turnout,con%,lab%,ld%,snp%
E14000554,0.1765,0.0902,0.3760999999999999,0.35559999999999997,2379.41801142358,31.698927905010702,3500,0.1363636363636364,46.40371229698376,0.028975322,-0.003448886,520,176100.0,0.2578571428571428,6.512573964497041,0.350176088,0.277084701,0.165074912,0.174864203,0.18,0.149,0.053,0.081,0.095,0.037,0.134,0.036,0.084,0.051,0.033,0.068,0.24,0.1905,0.1765,0.1235,0.2695,0.986528963,0.004926173,0.005890277,0.001862173,0.2855859899999999,0.704350353,0.002733828,0.004014897,0.968527959,0.016891623999999997,0.0090599326999999,0.005507276799999901,29.6,0.06252,0.2489,0.5529999999999999,0.7191490808917306,52.461385388041315,24.552260020847154,21.121955841940682,0.0
E14000569,0.2188999999999999,0.1103,0.3829,0.2919,922.670335384853,96.9089354787854,3200,0.128747795414462,35.78817871721747,0.057015673,-0.0007273019999999,520,120000.0,0.4545454545454546,4.437869822485207,0.334835373,0.313943366,0.141584311,0.190767576,0.26,0.151,0.023,0.055,0.071,0.042,0.141,0.037,0.094,0.038,0.034,0.055,0.3,0.1884999999999999,0.1705,0.1304999999999999,0.2095,0.987549201,0.005290155,0.005221303,0.001067211,0.246181564,0.745303696,0.001985243,0.0036147469999999998,0.976108236,0.013058995,0.0060590065999999,0.0047737626,29.0,0.04792,0.2432,0.609,0.6408270643354369,46.916660890460015,48.076523185693496,2.7171276079573023,0.0
E14000574,0.2034,0.0984,0.3993,0.292,110.329842647693,797.4089139321329,2305,0.194300518134715,26.1997317511196,0.042835285,-0.001085951,530,140000.0,0.2727272727272727,5.079825834542816,0.32831201,0.359832852,0.089068304,0.209966983,0.2019999999999999,0.175,0.003,0.047,0.083,0.051,0.138,0.043,0.094,0.048,0.06,0.0559999999999999,0.254,0.20675,0.17175,0.12775,0.23975,0.982000657,0.005709043,0.008756131,0.001812395,0.28257496,0.705621821,0.003579479,0.005482494000000001,0.974581167,0.011474723,0.0078386058,0.0061055028,41.9,0.02269,0.2393,0.561,0.7033114710994902,28.080026620081522,56.10806089343649,9.079943432326761,0.0
E14000575,0.2178999999999999,0.1086999999999999,0.3908,0.2805999999999999,70.3625203510292,1198.6495023094542,1840,0.2225913621262458,21.81645719705952,0.057092401,0.001849388,520,135846.0,0.5102390216787105,5.023890532544379,0.28364171,0.367832672,0.103969597,0.22921579,0.217,0.159,0.003,0.049,0.106,0.048,0.136,0.045,0.077,0.0409999999999999,0.063,0.055,0.257,0.222,0.185,0.14,0.1959999999999999,0.986577263,0.00537883,0.006936501,0.000571957,0.341738263,0.648538467,0.003030156,0.003395235,0.9768053158,0.011974589999999998,0.005914279299999999,0.005305814999999999,30.5,0.00114,0.2446,0.605,0.6711345896081369,37.31466227347611,55.94257472346435,4.582254648152507,0.0
E14000641,0.3305,0.211,0.34189999999999976,0.2358999999999998,186.642526046599,549.3603316020292,2450,0.2661498708010337,23.89451303957712,0.032860399,-0.003883342,610,148000.0,0.2333333333333334,4.665825977301387,0.315019276,0.332170675,0.146442527,0.193621987,0.172,0.134,0.004,0.067,0.11,0.035,0.124,0.038,0.17,0.048,0.0409999999999999,0.0579999999999999,0.205,0.14425,0.14125,0.20725,0.30225,0.955072848,0.01053245,0.0256,0.003570861,0.312095364,0.664031788,0.010076821,0.010415895,0.930627815,0.026458278000000002,0.0218596019999999,0.021054304,32.5,0.0063,0.2329,0.433,0.6805657088230332,29.815412631404687,55.401042960019865,9.906050823607316,0.0
E14000658,0.2269999999999999,0.1144999999999999,0.3973,0.255,30.0470459371673,3057.605070132937,2790,0.4307692307692308,30.36833855799373,0.062746339,0.0010520639999999,500,130995.0,0.4010160427807487,5.038269230769231,0.282768778,0.345900835,0.19018164,0.167869416,0.1889999999999999,0.171,0.002,0.057,0.076,0.053,0.149,0.044,0.081,0.042,0.086,0.05,0.26,0.1992499999999999,0.17125,0.1382499999999999,0.23125,0.959930866,0.011299868,0.022523163,0.003719221,0.310347091,0.666221819,0.009866874,0.010523207000000001,0.944933656,0.028922410000000003,0.011146722999999999,0.014997210099999998,69.8,0.01678,0.1776,0.581,0.6767459037397687,43.289376798982524,50.608028203583466,2.3004663408974273,0.0
E14000677,0.2308999999999999,0.1211999999999999,0.3913,0.261,117.706715623138,702.024515445375,1635,0.2976190476190476,19.78628393014897,0.0731327,0.0045199699999999,520,80000.0,0.1851851851851851,2.9585798816568047,0.288553766,0.349707537,0.118371081,0.226207967,0.273,0.143,0.004,0.046,0.079,0.052,0.142,0.05,0.084,0.027,0.047,0.052,0.335,0.1989999999999999,0.177,0.127,0.163,0.986963718,0.004881055,0.006487936,0.000700745,0.24627578,0.745073639,0.002754655,0.0038903460000000003,0.978216482,0.012818809,0.004506517499999901,0.0044581911,31.5,0.00287,0.2174,0.66,0.5838102107878497,22.714772852271476,63.66736332636673,1.2649873501264988,0.0
E14000709,0.2692,0.1578,0.4017999999999998,0.21309999999999998,24.5883643017639,3965.940914296787,2725,0.2471395881006866,27.94413224496493,0.071922798,0.0006544079999999,500,126000.0,0.3999999999999999,4.846153846153846,0.195167634,0.282075295,0.164309796,0.344540176,0.19,0.163,0.001,0.062,0.074,0.052,0.145,0.052,0.09,0.048,0.063,0.061,0.305,0.2,0.16,0.118,0.218,0.942543331,0.010147504,0.028463801,0.009226927,0.312562165,0.627875479,0.017660254,0.039299092,0.92491482,0.030791696,0.0264321839999999,0.017850719,62.4,0.00366,0.1682,0.562,0.6469794127573405,23.931786333515426,65.14025128850676,4.059093176258224,0.0
E14000733,0.23809999999999998,0.1224,0.3882,0.253,93.5920252910066,996.2600949181486,2295,0.3304347826086957,24.613371656549624,0.079727903,-0.016362263,550,124950.0,1.3586597451628126,4.368881118881119,0.274274126,0.324083692,0.147672751,0.235321759,0.256,0.15,0.004,0.051,0.068,0.042,0.154,0.042,0.096,0.04,0.038,0.06,0.307,0.2,0.172,0.135,0.186,0.976865737,0.005976442,0.014169601,0.001847264,0.286717086,0.699232842,0.007486852,0.0046290253,0.9722584435,0.011670360000000001,0.0067588115,0.0093123835,70.6,0.01348,0.156,0.696,0.59279108572075,34.22732162065256,52.513445679455,1.7831958886100157,0.0
E14000746,0.1875999999999999,0.0819999999999999,0.37849999999999995,0.3424,2439.64705864494,31.698847473024987,3990,0.08130081300813,51.59438280704477,0.016654432,-0.007639065,580,230000.0,0.3372093023255813,7.625994694960212,0.394118729,0.313074942,0.137863363,0.127437753,0.1669999999999999,0.133,0.0409999999999999,0.061,0.063,0.042,0.152,0.033,0.107,0.074,0.054,0.074,0.187,0.162,0.162,0.122,0.368,0.980035679,0.006270004,0.011595572,0.000918201,0.2826355,0.702424052,0.00369904,0.008486804,0.965646152,0.014114067,0.0118710326,0.008368750199999999,29.8,0.06471,0.2144,0.4529999999999999,0.7584066303048171,54.07580477673935,34.09484250605746,7.1066978193146415,0.0
